,Average Sentiment Score,Count,STD
world/traditional,0.17638833527127937,29,0.18326286156248953
easy listening,0.16796076515887892,18,0.14940962262770602
jazz,0.14834635416666667,2,0.2733400882338965
folk/acoustic,0.11029540035279588,134,0.17510283589526074
dance/electronic,0.09277758499649076,133,0.19881429705674472
metal,0.09250662856661325,67,0.17431416579141673
r&b,0.08866027059959977,545,0.16103832708541055
pop,0.0873150924861744,1427,0.17349820008583497
country,0.07989094848281003,210,0.14979595440957452
rock,0.07895454288858011,152,0.1621914767062103
blues,0.07842988273136761,10,0.11639477164380746
hip hop,0.0722004291363137,913,0.15834538948519505
latin,0.06991056427543914,57,0.2258273682179735
